223,349,277,319,314,351,255,391,0.274,0,0.013,300,300,0.22496,0.03277,0.04615,151.62,47.993,-10.16,0.4
186,263,103,231,115,154,209,199,0.274,0,0.013,300,300,0.4934,-0.01726,0.01968,-148.01,40.843,176.68,0.4
341,348,294,358,265,315,313,301,0.274,0,0.013,300,300,0.32675,0.07676,0.04841,128.84,41.195,-151.03,0.4
139,398,125,329,201,321,221,379,0.274,0,0.013,300,300,0.30335,0.17041,0.09315,39.537,47.369,33.896,0.4
327,311,300,362,276,340,299,296,0.274,0,0.013,300,300,0.32626,-0.08786,0.09171,7.3577,53.013,-66.012,0.4
235,394,223,336,269,337,283,388,0.274,0,0.013,300,300,0.27975,-0.00913,0.15868,31.569,52.716,53.641,0.4
456,259,389,246,395,173,471,172,0.274,0,0.013,300,300,0.18554,-0.12427,0.12445,123.64,51.813,-112.23,0.4
0,0,0,0,0,0,0,0,0.274,0,0.013,300,300,0.54969,0.22484,0.018,-94.745,28.223,143.32,0.4
481,406,411,414,387,359,457,344,0.274,0,0.013,300,300,0.14667,0.17502,0.03932,111.76,34.522,-132.76,0.4
101,258,33,200,87,157,151,223,0.274,0,0.013,300,300,0.51322,0.19108,0.084,-111.31,35.787,169.39,0.4
316,359,268,382,235,343,285,316,0.274,0,0.013,300,300,0.36306,0.08515,0.053,149.86,26.424,-179.43,0.4
106,443,145,363,215,388,191,464,0.274,0,0.013,300,300,0.14091,0.11009,0.12257,57.553,43.028,53.427,0.4
325,386,272,379,281,343,327,348,0.274,0,0.013,300,300,0.29616,-0.07175,0.19133,7.1732,50.723,3.2971,0.4
258,227,221,263,198,233,233,201,0.274,0,0.013,300,300,0.31052,-0.25936,0.07412,11.204,24.189,-52.467,0.4
321,333,282,369,252,327,287,292,0.274,0,0.013,300,300,0.364,-0.01076,0.10405,44.223,24.042,-84.494,0.4
396,451,343,476,319,417,367,391,0.274,0,0.013,300,300,0.3347,0.17412,0.15531,35.792,35.282,-62.766,0.4
90,177,125,125,188,168,163,217,0.274,0,0.013,300,300,0.4118,0.27816,0.14609,30.953,35.354,83.07,0.4
445,305,403,342,365,303,405,265,0.274,0,0.013,300,300,0.17472,0.11942,0.1558,70.892,17.073,-114.06,0.4
293,226,301,167,356,177,345,233,0.274,0,0.013,300,300,0.44783,-0.01547,0.18016,-62.169,25.657,160.53,0.4
366,336,327,315,345,283,382,303,0.274,0,0.013,300,300,0.23797,-0.17614,0.21022,16.692,26.96,15.83,0.4
260,377,239,335,282,313,305,353,0.274,0,0.013,300,300,0.33396,0.06342,0.19714,63.488,22.39,-0.58459,0.4
383,317,335,309,341,261,391,267,0.274,0,0.013,300,300,0.24816,-0.03531,0.20716,105.17,20.428,-94.853,0.4
